datetime,MAC Address,SSID,Signal Strength
03/12/2025 11:58:24,D0:4D:C6:F2:A2:B0,eduroam,-94
03/12/2025 11:58:24,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 11:58:24,1C:28:AF:62:B8:B0,eduroam,-85
03/12/2025 11:58:24,D0:4D:C6:F2:B9:B0,eduroam,-85
03/12/2025 11:58:24,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:24,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:58:24,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 11:58:24,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:58:29,D0:4D:C6:F2:A2:B0,eduroam,-94
03/12/2025 11:58:29,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 11:58:29,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:58:29,D0:4D:C6:F2:B9:B0,eduroam,-85
03/12/2025 11:58:29,1C:28:AF:62:B8:B0,eduroam,-84
03/12/2025 11:58:29,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:29,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 11:58:29,D0:4D:C6:F2:F4:A0,eduroam,-76
03/12/2025 11:58:29,D0:4D:C6:F2:F4:B0,eduroam,-69
03/12/2025 11:58:29,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:58:34,D0:4D:C6:F2:A2:B0,eduroam,-94
03/12/2025 11:58:34,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 11:58:34,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:58:34,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:58:34,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:58:34,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:34,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 11:58:34,D0:4D:C6:F2:F4:A0,eduroam,-76
03/12/2025 11:58:34,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:58:34,D0:4D:C6:F2:BF:50,eduroam,-89
03/12/2025 11:58:39,D0:4D:C6:F2:A2:B0,eduroam,-94
03/12/2025 11:58:39,D0:4D:C6:F2:BC:50,eduroam,-94
03/12/2025 11:58:39,D0:4D:C6:F2:D4:D0,eduroam,-94
03/12/2025 11:58:39,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:58:39,D0:4D:C6:F2:B9:B0,eduroam,-84
03/12/2025 11:58:39,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:58:39,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:39,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 11:58:39,D0:4D:C6:F2:F4:A0,eduroam,-76
03/12/2025 11:58:39,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:58:39,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:58:39,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 11:58:45,D0:4D:C6:F2:D4:D0,eduroam,-94
03/12/2025 11:58:45,D0:4D:C6:F2:A2:B0,eduroam,-93
03/12/2025 11:58:45,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:58:45,D0:4D:C6:F2:B9:B0,eduroam,-88
03/12/2025 11:58:45,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:58:45,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:58:45,D0:4D:C6:F2:B9:A0,eduroam,-81
03/12/2025 11:58:45,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:45,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:58:45,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 11:58:45,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:58:50,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:58:50,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 11:58:50,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:58:50,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:58:50,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:58:50,D0:4D:C6:F2:B9:B0,eduroam,-84
03/12/2025 11:58:50,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:58:50,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:58:50,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 11:58:50,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:58:50,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 11:58:50,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:58:55,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:58:55,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:58:55,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:58:55,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:58:55,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:58:55,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:58:55,1C:28:AF:62:B8:B0,eduroam,-84
03/12/2025 11:58:55,D0:4D:C6:F2:BC:40,eduroam,-80
03/12/2025 11:58:55,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 11:58:55,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:58:55,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:58:55,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:58:55,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:00,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:59:00,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:59:00,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:00,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:59:00,D0:4D:C6:F2:BC:50,eduroam,-88
03/12/2025 11:59:00,D0:4D:C6:F2:B9:B0,eduroam,-85
03/12/2025 11:59:00,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:00,D0:4D:C6:F2:BC:40,eduroam,-80
03/12/2025 11:59:00,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 11:59:00,D0:4D:C6:F2:F4:A0,eduroam,-73
03/12/2025 11:59:00,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:00,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:59:05,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:59:05,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:59:05,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:59:05,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:05,D0:4D:C6:F2:BC:50,eduroam,-88
03/12/2025 11:59:05,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:05,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:59:05,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:05,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 11:59:05,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:05,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:05,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:59:10,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:59:10,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:59:10,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 11:59:10,D0:4D:C6:F2:BC:50,eduroam,-88
03/12/2025 11:59:10,D0:4D:C6:F2:B9:B0,eduroam,-87
03/12/2025 11:59:10,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:59:10,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:10,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 11:59:10,D0:4D:C6:F2:F4:A0,eduroam,-72
03/12/2025 11:59:10,D0:4D:C6:F2:F4:B0,eduroam,-69
03/12/2025 11:59:10,1C:28:AF:62:B8:A0,eduroam,-81
03/12/2025 11:59:10,1C:28:AF:5B:FA:30,eduroam,-91
03/12/2025 11:59:10,D0:4D:C6:F2:BF:50,eduroam,-91
03/12/2025 11:59:15,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:59:15,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:59:15,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 11:59:15,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:15,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:15,1C:28:AF:62:B8:B0,eduroam,-81
03/12/2025 11:59:15,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:15,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 11:59:15,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:15,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:15,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:20,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:20,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:20,D0:4D:C6:F2:BC:50,eduroam,-85
03/12/2025 11:59:20,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:20,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:20,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:20,D0:4D:C6:F2:F4:A0,eduroam,-73
03/12/2025 11:59:20,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:20,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:20,D0:4D:C6:F2:D4:D0,eduroam,-96
03/12/2025 11:59:21,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 11:59:26,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 11:59:26,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 11:59:26,D0:4D:C6:F2:B9:B0,eduroam,-85
03/12/2025 11:59:26,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:26,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:26,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:26,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:26,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 11:59:26,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:31,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:31,D0:4D:C6:F2:B9:B0,eduroam,-87
03/12/2025 11:59:31,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:31,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:31,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:31,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:31,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:31,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:31,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:36,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:36,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:36,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:36,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:36,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:36,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:36,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:36,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:36,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:36,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 11:59:41,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 11:59:41,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 11:59:41,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:41,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:41,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:41,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:41,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:41,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:41,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 11:59:41,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:46,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 11:59:46,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 11:59:46,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:46,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:46,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:46,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:46,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:46,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 11:59:46,D0:4D:C6:F2:F4:A0,eduroam,-76
03/12/2025 11:59:46,1C:28:AF:62:B8:A0,eduroam,-79
03/12/2025 11:59:51,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 11:59:51,D0:4D:C6:F2:A2:B0,eduroam,-93
03/12/2025 11:59:51,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:51,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:51,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 11:59:51,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:51,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:51,D0:4D:C6:F2:F4:A0,eduroam,-72
03/12/2025 11:59:51,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:51,1C:28:AF:62:B8:A0,eduroam,-80
03/12/2025 11:59:56,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 11:59:56,D0:4D:C6:F2:A2:B0,eduroam,-90
03/12/2025 11:59:56,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 11:59:56,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 11:59:56,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 11:59:56,1C:28:AF:62:B8:A0,eduroam,-80
03/12/2025 11:59:56,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 11:59:56,D0:4D:C6:F2:B9:A0,eduroam,-77
03/12/2025 11:59:56,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 11:59:56,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 11:59:56,D0:4D:C6:F2:FE:10,eduroam,-95
03/12/2025 12:00:02,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 12:00:02,D0:4D:C6:F2:FE:10,eduroam,-95
03/12/2025 12:00:02,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 12:00:02,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:02,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 12:00:02,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 12:00:02,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 12:00:02,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 12:00:02,D0:4D:C6:F2:F4:A0,eduroam,-73
03/12/2025 12:00:02,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 12:00:02,1C:28:AF:62:B8:A0,eduroam,-80
03/12/2025 12:00:07,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 12:00:07,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 12:00:07,D0:4D:C6:F2:B9:B0,eduroam,-88
03/12/2025 12:00:07,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:07,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:07,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 12:00:07,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 12:00:07,D0:4D:C6:F2:F4:A0,eduroam,-73
03/12/2025 12:00:07,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 12:00:07,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:07,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 12:00:12,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:12,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 12:00:12,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:12,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 12:00:12,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:12,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 12:00:12,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:12,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 12:00:12,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 12:00:12,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:12,D0:4D:C6:F2:BC:40,eduroam,-79
03/12/2025 12:00:17,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:17,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 12:00:17,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:17,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 12:00:17,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:17,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 12:00:17,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:17,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 12:00:17,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 12:00:17,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:22,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:22,D0:4D:C6:F2:A2:B0,eduroam,-91
03/12/2025 12:00:22,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 12:00:22,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 12:00:22,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:22,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 12:00:22,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:22,D0:4D:C6:F2:F4:A0,eduroam,-75
03/12/2025 12:00:22,D0:4D:C6:F2:F4:B0,eduroam,-72
03/12/2025 12:00:22,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:27,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:27,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 12:00:27,D0:4D:C6:F2:B9:B0,eduroam,-87
03/12/2025 12:00:27,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 12:00:27,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:27,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 12:00:27,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:27,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 12:00:27,D0:4D:C6:F2:F4:B0,eduroam,-73
03/12/2025 12:00:27,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:32,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:32,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 12:00:32,D0:4D:C6:F2:B9:B0,eduroam,-87
03/12/2025 12:00:32,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:32,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:32,1C:28:AF:62:B8:B0,eduroam,-83
03/12/2025 12:00:32,D0:4D:C6:F2:B9:A0,eduroam,-79
03/12/2025 12:00:32,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:32,D0:4D:C6:F2:F4:A0,eduroam,-74
03/12/2025 12:00:32,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 12:00:32,D0:4D:C6:F2:D9:50,eduroam,-91
03/12/2025 12:00:37,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 12:00:37,D0:4D:C6:F2:FE:10,eduroam,-94
03/12/2025 12:00:37,D0:4D:C6:F2:D9:50,eduroam,-91
03/12/2025 12:00:37,D0:4D:C6:F2:B9:B0,eduroam,-87
03/12/2025 12:00:37,D0:4D:C6:F2:BC:50,eduroam,-86
03/12/2025 12:00:37,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 12:00:37,D0:4D:C6:F2:B9:A0,eduroam,-78
03/12/2025 12:00:37,D0:4D:C6:F2:F4:A0,eduroam,-75
03/12/2025 12:00:37,D0:4D:C6:F2:A2:B0,eduroam,-72
03/12/2025 12:00:37,D0:4D:C6:F2:F4:B0,eduroam,-71
03/12/2025 12:00:37,D0:4D:C6:F2:FE:00,eduroam,-86
03/12/2025 12:00:37,1C:28:AF:62:B8:A0,eduroam,-77
03/12/2025 12:00:43,D0:4D:C6:F2:A2:B0,eduroam,-92
03/12/2025 12:00:43,D0:4D:C6:F2:FE:10,eduroam,-92
03/12/2025 12:00:43,D0:4D:C6:F2:D9:50,eduroam,-91
03/12/2025 12:00:43,D0:4D:C6:F2:BC:50,eduroam,-87
03/12/2025 12:00:43,D0:4D:C6:F2:B9:B0,eduroam,-86
03/12/2025 12:00:43,1C:28:AF:62:B8:B0,eduroam,-82
03/12/2025 12:00:43,D0:4D:C6:F2:B9:A0,eduroam,-80
03/12/2025 12:00:43,D0:4D:C6:F2:F4:A0,eduroam,-75
03/12/2025 12:00:43,D0:4D:C6:F2:F4:B0,eduroam,-70
03/12/2025 12:00:43,D0:4D:C6:F2:D4:D0,eduroam,-95
03/12/2025 12:00:43,D0:4D:C6:F2:FE:00,eduroam,-86
